date,province_state,country_region,cases,mortality
2020-01-22,,Afghanistan,0,0
2020-01-22,,Albania,0,0
2020-01-22,,Algeria,0,0
2020-01-22,,Andorra,0,0
2020-01-22,,Angola,0,0
2020-01-22,,Antigua and Barbuda,0,0
2020-01-22,,Argentina,0,0
2020-01-22,,Armenia,0,0
2020-01-22,Australian Capital Territory,Australia,0,0
2020-01-22,New South Wales,Australia,0,0
2020-01-22,Northern Territory,Australia,0,0
2020-01-22,Queensland,Australia,0,0
2020-01-22,South Australia,Australia,0,0
2020-01-22,Tasmania,Australia,0,0
2020-01-22,Victoria,Australia,0,0
2020-01-22,Western Australia,Australia,0,0
2020-01-22,,Austria,0,0
2020-01-22,,Azerbaijan,0,0
2020-01-22,,Bahamas,0,0
2020-01-22,,Bahrain,0,0
2020-01-22,,Bangladesh,0,0
2020-01-22,,Barbados,0,0
2020-01-22,,Belarus,0,0
2020-01-22,,Belgium,0,0
2020-01-22,,Benin,0,0
2020-01-22,,Bhutan,0,0
2020-01-22,,Bolivia,0,0
2020-01-22,,Bosnia and Herzegovina,0,0
2020-01-22,,Brazil,0,0
2020-01-22,,Brunei,0,0
2020-01-22,,Bulgaria,0,0
2020-01-22,,Burkina Faso,0,0
2020-01-22,,Cabo Verde,0,0
2020-01-22,,Cambodia,0,0
2020-01-22,,Cameroon,0,0
2020-01-22,Alberta,Canada,0,0
2020-01-22,British Columbia,Canada,0,0
2020-01-22,Grand Princess,Canada,0,0
2020-01-22,Manitoba,Canada,0,0
2020-01-22,New Brunswick,Canada,0,0
2020-01-22,Newfoundland and Labrador,Canada,0,0
2020-01-22,Nova Scotia,Canada,0,0
2020-01-22,Ontario,Canada,0,0
2020-01-22,Prince Edward Island,Canada,0,0
2020-01-22,Quebec,Canada,0,0
2020-01-22,Saskatchewan,Canada,0,0
2020-01-22,,Central African Republic,0,0
2020-01-22,,Chad,0,0
2020-01-22,,Chile,0,0
2020-01-22,Anhui,China,1,0
2020-01-22,Beijing,China,14,0
2020-01-22,Chongqing,China,6,0
2020-01-22,Fujian,China,1,0
2020-01-22,Gansu,China,0,0
2020-01-22,Guangdong,China,26,0
2020-01-22,Guangxi,China,2,0
2020-01-22,Guizhou,China,1,0
2020-01-22,Hainan,China,4,0
2020-01-22,Hebei,China,1,0
2020-01-22,Heilongjiang,China,0,0
2020-01-22,Henan,China,5,0
2020-01-22,Hong Kong,China,0,0
2020-01-22,Hubei,China,444,17
2020-01-22,Hunan,China,4,0
2020-01-22,Inner Mongolia,China,0,0
2020-01-22,Jiangsu,China,1,0
2020-01-22,Jiangxi,China,2,0
2020-01-22,Jilin,China,0,0
2020-01-22,Liaoning,China,2,0
2020-01-22,Macau,China,1,0
2020-01-22,Ningxia,China,1,0
2020-01-22,Qinghai,China,0,0
2020-01-22,Shaanxi,China,0,0
2020-01-22,Shandong,China,2,0
2020-01-22,Shanghai,China,9,0
2020-01-22,Shanxi,China,1,0
2020-01-22,Sichuan,China,5,0
2020-01-22,Tianjin,China,4,0
2020-01-22,Tibet,China,0,0
2020-01-22,Xinjiang,China,0,0
2020-01-22,Yunnan,China,1,0
2020-01-22,Zhejiang,China,10,0
2020-01-22,,Colombia,0,0
2020-01-22,,Congo (Brazzaville),0,0
2020-01-22,,Congo (Kinshasa),0,0
2020-01-22,,Costa Rica,0,0
2020-01-22,,Cote d'Ivoire,0,0
2020-01-22,,Croatia,0,0
2020-01-22,,Diamond Princess,0,0
2020-01-22,,Cuba,0,0
2020-01-22,,Cyprus,0,0
2020-01-22,,Czechia,0,0
2020-01-22,Faroe Islands,Denmark,0,0
2020-01-22,Greenland,Denmark,0,0
2020-01-22,,Denmark,0,0
2020-01-22,,Djibouti,0,0
2020-01-22,,Dominican Republic,0,0
2020-01-22,,Ecuador,0,0
2020-01-22,,Egypt,0,0
2020-01-22,,El Salvador,0,0
2020-01-22,,Equatorial Guinea,0,0
2020-01-22,,Eritrea,0,0
2020-01-22,,Estonia,0,0
2020-01-22,,Eswatini,0,0
2020-01-22,,Ethiopia,0,0
2020-01-22,,Fiji,0,0
2020-01-22,,Finland,0,0
2020-01-22,French Guiana,France,0,0
2020-01-22,French Polynesia,France,0,0
2020-01-22,Guadeloupe,France,0,0
2020-01-22,Mayotte,France,0,0
2020-01-22,New Caledonia,France,0,0
2020-01-22,Reunion,France,0,0
2020-01-22,Saint Barthelemy,France,0,0
2020-01-22,St Martin,France,0,0
2020-01-22,Martinique,France,0,0
2020-01-22,,France,0,0
2020-01-22,,Gabon,0,0
2020-01-22,,Gambia,0,0
2020-01-22,,Georgia,0,0
2020-01-22,,Germany,0,0
2020-01-22,,Ghana,0,0
2020-01-22,,Greece,0,0
2020-01-22,,Guatemala,0,0
2020-01-22,,Guinea,0,0
2020-01-22,,Guyana,0,0
2020-01-22,,Haiti,0,0
2020-01-22,,Holy See,0,0
2020-01-22,,Honduras,0,0
2020-01-22,,Hungary,0,0
2020-01-22,,Iceland,0,0
2020-01-22,,India,0,0
2020-01-22,,Indonesia,0,0
2020-01-22,,Iran,0,0
2020-01-22,,Iraq,0,0
2020-01-22,,Ireland,0,0
2020-01-22,,Israel,0,0
2020-01-22,,Italy,0,0
2020-01-22,,Jamaica,0,0
2020-01-22,,Japan,2,0
2020-01-22,,Jordan,0,0
2020-01-22,,Kazakhstan,0,0
2020-01-22,,Kenya,0,0
2020-01-22,,"Korea, South",1,0
2020-01-22,,Kuwait,0,0
2020-01-22,,Kyrgyzstan,0,0
2020-01-22,,Latvia,0,0
2020-01-22,,Lebanon,0,0
2020-01-22,,Liberia,0,0
2020-01-22,,Liechtenstein,0,0
2020-01-22,,Lithuania,0,0
2020-01-22,,Luxembourg,0,0
2020-01-22,,Madagascar,0,0
2020-01-22,,Malaysia,0,0
2020-01-22,,Maldives,0,0
2020-01-22,,Malta,0,0
2020-01-22,,Mauritania,0,0
2020-01-22,,Mauritius,0,0
2020-01-22,,Mexico,0,0
2020-01-22,,Moldova,0,0
2020-01-22,,Monaco,0,0
2020-01-22,,Mongolia,0,0
2020-01-22,,Montenegro,0,0
2020-01-22,,Morocco,0,0
2020-01-22,,Namibia,0,0
2020-01-22,,Nepal,0,0
2020-01-22,Aruba,Netherlands,0,0
2020-01-22,Curacao,Netherlands,0,0
2020-01-22,Sint Maarten,Netherlands,0,0
2020-01-22,,Netherlands,0,0
2020-01-22,,New Zealand,0,0
2020-01-22,,Nicaragua,0,0
2020-01-22,,Niger,0,0
2020-01-22,,Nigeria,0,0
2020-01-22,,North Macedonia,0,0
2020-01-22,,Norway,0,0
2020-01-22,,Oman,0,0
2020-01-22,,Pakistan,0,0
2020-01-22,,Panama,0,0
2020-01-22,,Papua New Guinea,0,0
2020-01-22,,Paraguay,0,0
2020-01-22,,Peru,0,0
2020-01-22,,Philippines,0,0
2020-01-22,,Poland,0,0
2020-01-22,,Portugal,0,0
2020-01-22,,Qatar,0,0
2020-01-22,,Romania,0,0
2020-01-22,,Russia,0,0
2020-01-22,,Rwanda,0,0
2020-01-22,,Saint Lucia,0,0
2020-01-22,,Saint Vincent and the Grenadines,0,0
2020-01-22,,San Marino,0,0
2020-01-22,,Saudi Arabia,0,0
2020-01-22,,Senegal,0,0
2020-01-22,,Serbia,0,0
2020-01-22,,Seychelles,0,0
2020-01-22,,Singapore,0,0
2020-01-22,,Slovakia,0,0
2020-01-22,,Slovenia,0,0
2020-01-22,,Somalia,0,0
2020-01-22,,South Africa,0,0
2020-01-22,,Spain,0,0
2020-01-22,,Sri Lanka,0,0
2020-01-22,,Sudan,0,0
2020-01-22,,Suriname,0,0
2020-01-22,,Sweden,0,0
2020-01-22,,Switzerland,0,0
2020-01-22,,Taiwan*,1,0
2020-01-22,,Tanzania,0,0
2020-01-22,,Thailand,2,0
2020-01-22,,Togo,0,0
2020-01-22,,Trinidad and Tobago,0,0
2020-01-22,,Tunisia,0,0
2020-01-22,,Turkey,0,0
2020-01-22,,Uganda,0,0
2020-01-22,,Ukraine,0,0
2020-01-22,,United Arab Emirates,0,0
2020-01-22,Bermuda,United Kingdom,0,0
2020-01-22,Cayman Islands,United Kingdom,0,0
2020-01-22,Channel Islands,United Kingdom,0,0
2020-01-22,Gibraltar,United Kingdom,0,0
2020-01-22,Isle of Man,United Kingdom,0,0
2020-01-22,Montserrat,United Kingdom,0,0
2020-01-22,,United Kingdom,0,0
2020-01-22,,Uruguay,0,0
2020-01-22,,US,1,0
2020-01-22,,Uzbekistan,0,0
2020-01-22,,Venezuela,0,0
2020-01-22,,Vietnam,0,0
2020-01-22,,Zambia,0,0
2020-01-22,,Zimbabwe,0,0
2020-01-22,Diamond Princess,Canada,0,0
2020-01-22,,Dominica,0,0
2020-01-22,,Grenada,0,0
2020-01-22,,Mozambique,0,0
2020-01-22,,Syria,0,0
2020-01-22,,Timor-Leste,0,0
2020-01-22,,Belize,0,0
2020-01-22,,Laos,0,0
2020-01-22,,Libya,0,0
2020-01-22,,West Bank and Gaza,0,0
2020-01-22,,Guinea-Bissau,0,0
2020-01-22,,Mali,0,0
2020-01-22,,Saint Kitts and Nevis,0,0
2020-01-22,Northwest Territories,Canada,0,0
2020-01-22,Yukon,Canada,0,0
2020-01-22,,Kosovo,0,0
2020-01-22,,Burma,0,0
2020-01-22,Anguilla,United Kingdom,0,0
2020-01-22,British Virgin Islands,United Kingdom,0,0
2020-01-22,Turks and Caicos Islands,United Kingdom,0,0
2020-01-22,,MS Zaandam,0,0
2020-01-22,,Botswana,0,0
2020-01-22,,Burundi,0,0
2020-01-22,,Sierra Leone,0,0
2020-01-22,"Bonaire, Sint Eustatius and Saba",Netherlands,0,0
2020-01-22,,Malawi,0,0
2020-01-22,Falkland Islands (Malvinas),United Kingdom,0,0
2020-01-22,Saint Pierre and Miquelon,France,0,0
2020-01-22,,South Sudan,0,0
2020-01-22,,Western Sahara,0,0
2020-01-22,,Sao Tome and Principe,0,0
2020-01-22,,Yemen,0,0
2020-01-22,,Comoros,0,0
2020-01-22,,Tajikistan,0,0
2020-01-22,,Lesotho,0,0
2020-01-22,,Australia,0,0
2020-01-22,,Canada,0,0
2020-01-22,,China,548,17
2020-01-22,,Denmark,0,0
2020-01-22,Alabama,US,0,0
2020-01-22,Alaska,US,0,0
2020-01-22,American Samoa,US,0,0
2020-01-22,Arizona,US,0,0
2020-01-22,Arkansas,US,0,0
2020-01-22,California,US,0,0
2020-01-22,Colorado,US,0,0
2020-01-22,Connecticut,US,0,0
2020-01-22,Delaware,US,0,0
2020-01-22,Diamond Princess,US,0,0
2020-01-22,District of Columbia,US,0,0
2020-01-22,Florida,US,0,0
2020-01-22,Georgia,US,0,0
2020-01-22,Grand Princess,US,0,0
2020-01-22,Guam,US,0,0
2020-01-22,Hawaii,US,0,0
2020-01-22,Idaho,US,0,0
2020-01-22,Illinois,US,0,0
2020-01-22,Indiana,US,0,0
2020-01-22,Iowa,US,0,0
2020-01-22,Kansas,US,0,0
2020-01-22,Kentucky,US,0,0
2020-01-22,Louisiana,US,0,0
2020-01-22,Maine,US,0,0
2020-01-22,Maryland,US,0,0
2020-01-22,Massachusetts,US,0,0
2020-01-22,Michigan,US,0,0
2020-01-22,Minnesota,US,0,0
2020-01-22,Mississippi,US,0,0
2020-01-22,Missouri,US,0,0
2020-01-22,Montana,US,0,0
2020-01-22,Nebraska,US,0,0
2020-01-22,Nevada,US,0,0
2020-01-22,New Hampshire,US,0,0
2020-01-22,New Jersey,US,0,0
2020-01-22,New Mexico,US,0,0
2020-01-22,New York,US,0,0
2020-01-22,North Carolina,US,0,0
2020-01-22,North Dakota,US,0,0
2020-01-22,Northern Mariana Islands,US,0,0
2020-01-22,Ohio,US,0,0
2020-01-22,Oklahoma,US,0,0
2020-01-22,Oregon,US,0,0
2020-01-22,Pennsylvania,US,0,0
2020-01-22,Puerto Rico,US,0,0
2020-01-22,Rhode Island,US,0,0
2020-01-22,South Carolina,US,0,0
2020-01-22,South Dakota,US,0,0
2020-01-22,Tennessee,US,0,0
2020-01-22,Texas,US,0,0
2020-01-22,Utah,US,0,0
2020-01-22,Vermont,US,0,0
2020-01-22,Virgin Islands,US,0,0
2020-01-22,Virginia,US,0,0
2020-01-22,Washington,US,1,0
2020-01-22,West Virginia,US,0,0
2020-01-22,Wisconsin,US,0,0
2020-01-22,Wyoming,US,0,0
2020-01-23,,Afghanistan,0,0
2020-01-23,,Albania,0,0
2020-01-23,,Algeria,0,0
2020-01-23,,Andorra,0,0
2020-01-23,,Angola,0,0
2020-01-23,,Antigua and Barbuda,0,0
2020-01-23,,Argentina,0,0
2020-01-23,,Armenia,0,0
2020-01-23,Australian Capital Territory,Australia,0,0
2020-01-23,New South Wales,Australia,0,0
2020-01-23,Northern Territory,Australia,0,0
2020-01-23,Queensland,Australia,0,0
2020-01-23,South Australia,Australia,0,0
2020-01-23,Tasmania,Australia,0,0
2020-01-23,Victoria,Australia,0,0
2020-01-23,Western Australia,Australia,0,0
2020-01-23,,Austria,0,0
2020-01-23,,Azerbaijan,0,0
2020-01-23,,Bahamas,0,0
2020-01-23,,Bahrain,0,0
2020-01-23,,Bangladesh,0,0
2020-01-23,,Barbados,0,0
2020-01-23,,Belarus,0,0
2020-01-23,,Belgium,0,0
2020-01-23,,Benin,0,0
2020-01-23,,Bhutan,0,0
2020-01-23,,Bolivia,0,0
2020-01-23,,Bosnia and Herzegovina,0,0
2020-01-23,,Brazil,0,0
2020-01-23,,Brunei,0,0
2020-01-23,,Bulgaria,0,0
2020-01-23,,Burkina Faso,0,0
2020-01-23,,Cabo Verde,0,0
2020-01-23,,Cambodia,0,0
2020-01-23,,Cameroon,0,0
2020-01-23,Alberta,Canada,0,0
2020-01-23,British Columbia,Canada,0,0
2020-01-23,Grand Princess,Canada,0,0
2020-01-23,Manitoba,Canada,0,0
2020-01-23,New Brunswick,Canada,0,0
2020-01-23,Newfoundland and Labrador,Canada,0,0
2020-01-23,Nova Scotia,Canada,0,0
2020-01-23,Ontario,Canada,0,0
2020-01-23,Prince Edward Island,Canada,0,0
2020-01-23,Quebec,Canada,0,0
2020-01-23,Saskatchewan,Canada,0,0
2020-01-23,,Central African Republic,0,0
2020-01-23,,Chad,0,0
2020-01-23,,Chile,0,0
2020-01-23,Anhui,China,9,0
2020-01-23,Beijing,China,22,0
2020-01-23,Chongqing,China,9,0
2020-01-23,Fujian,China,5,0
2020-01-23,Gansu,China,2,0
2020-01-23,Guangdong,China,32,0
2020-01-23,Guangxi,China,5,0
2020-01-23,Guizhou,China,3,0
2020-01-23,Hainan,China,5,0
2020-01-23,Hebei,China,1,1
2020-01-23,Heilongjiang,China,2,0
2020-01-23,Henan,China,5,0
2020-01-23,Hong Kong,China,2,0
2020-01-23,Hubei,China,444,17
2020-01-23,Hunan,China,9,0
2020-01-23,Inner Mongolia,China,0,0
2020-01-23,Jiangsu,China,5,0
2020-01-23,Jiangxi,China,7,0
2020-01-23,Jilin,China,1,0
2020-01-23,Liaoning,China,3,0
2020-01-23,Macau,China,2,0
2020-01-23,Ningxia,China,1,0
2020-01-23,Qinghai,China,0,0
2020-01-23,Shaanxi,China,3,0
2020-01-23,Shandong,China,6,0
2020-01-23,Shanghai,China,16,0
2020-01-23,Shanxi,China,1,0
2020-01-23,Sichuan,China,8,0
2020-01-23,Tianjin,China,4,0
2020-01-23,Tibet,China,0,0
2020-01-23,Xinjiang,China,2,0
2020-01-23,Yunnan,China,2,0
2020-01-23,Zhejiang,China,27,0
2020-01-23,,Colombia,0,0
2020-01-23,,Congo (Brazzaville),0,0
2020-01-23,,Congo (Kinshasa),0,0
2020-01-23,,Costa Rica,0,0
2020-01-23,,Cote d'Ivoire,0,0
2020-01-23,,Croatia,0,0
2020-01-23,,Diamond Princess,0,0
2020-01-23,,Cuba,0,0
2020-01-23,,Cyprus,0,0
2020-01-23,,Czechia,0,0
2020-01-23,Faroe Islands,Denmark,0,0
2020-01-23,Greenland,Denmark,0,0
2020-01-23,,Denmark,0,0
2020-01-23,,Djibouti,0,0
2020-01-23,,Dominican Republic,0,0
2020-01-23,,Ecuador,0,0
2020-01-23,,Egypt,0,0
2020-01-23,,El Salvador,0,0
2020-01-23,,Equatorial Guinea,0,0
2020-01-23,,Eritrea,0,0
2020-01-23,,Estonia,0,0
2020-01-23,,Eswatini,0,0
2020-01-23,,Ethiopia,0,0
2020-01-23,,Fiji,0,0
2020-01-23,,Finland,0,0
2020-01-23,French Guiana,France,0,0
2020-01-23,French Polynesia,France,0,0
2020-01-23,Guadeloupe,France,0,0
2020-01-23,Mayotte,France,0,0
2020-01-23,New Caledonia,France,0,0
2020-01-23,Reunion,France,0,0
2020-01-23,Saint Barthelemy,France,0,0
2020-01-23,St Martin,France,0,0
2020-01-23,Martinique,France,0,0
2020-01-23,,France,0,0
2020-01-23,,Gabon,0,0
2020-01-23,,Gambia,0,0
2020-01-23,,Georgia,0,0
2020-01-23,,Germany,0,0
2020-01-23,,Ghana,0,0
2020-01-23,,Greece,0,0
2020-01-23,,Guatemala,0,0
2020-01-23,,Guinea,0,0
2020-01-23,,Guyana,0,0
2020-01-23,,Haiti,0,0
2020-01-23,,Holy See,0,0
2020-01-23,,Honduras,0,0
2020-01-23,,Hungary,0,0
2020-01-23,,Iceland,0,0
2020-01-23,,India,0,0
2020-01-23,,Indonesia,0,0
2020-01-23,,Iran,0,0
2020-01-23,,Iraq,0,0
2020-01-23,,Ireland,0,0
2020-01-23,,Israel,0,0
2020-01-23,,Italy,0,0
2020-01-23,,Jamaica,0,0
2020-01-23,,Japan,2,0
2020-01-23,,Jordan,0,0
2020-01-23,,Kazakhstan,0,0
2020-01-23,,Kenya,0,0
2020-01-23,,"Korea, South",1,0
2020-01-23,,Kuwait,0,0
2020-01-23,,Kyrgyzstan,0,0
2020-01-23,,Latvia,0,0
2020-01-23,,Lebanon,0,0
2020-01-23,,Liberia,0,0
2020-01-23,,Liechtenstein,0,0
2020-01-23,,Lithuania,0,0
2020-01-23,,Luxembourg,0,0
2020-01-23,,Madagascar,0,0
2020-01-23,,Malaysia,0,0
2020-01-23,,Maldives,0,0
2020-01-23,,Malta,0,0
2020-01-23,,Mauritania,0,0
2020-01-23,,Mauritius,0,0
2020-01-23,,Mexico,0,0
2020-01-23,,Moldova,0,0
2020-01-23,,Monaco,0,0
2020-01-23,,Mongolia,0,0
2020-01-23,,Montenegro,0,0
2020-01-23,,Morocco,0,0
2020-01-23,,Namibia,0,0
2020-01-23,,Nepal,0,0
2020-01-23,Aruba,Netherlands,0,0
2020-01-23,Curacao,Netherlands,0,0
2020-01-23,Sint Maarten,Netherlands,0,0
2020-01-23,,Netherlands,0,0
2020-01-23,,New Zealand,0,0
2020-01-23,,Nicaragua,0,0
2020-01-23,,Niger,0,0
2020-01-23,,Nigeria,0,0
2020-01-23,,North Macedonia,0,0
2020-01-23,,Norway,0,0
2020-01-23,,Oman,0,0
2020-01-23,,Pakistan,0,0
2020-01-23,,Panama,0,0
2020-01-23,,Papua New Guinea,0,0
2020-01-23,,Paraguay,0,0
2020-01-23,,Peru,0,0
2020-01-23,,Philippines,0,0
2020-01-23,,Poland,0,0
2020-01-23,,Portugal,0,0
2020-01-23,,Qatar,0,0
2020-01-23,,Romania,0,0
2020-01-23,,Russia,0,0
2020-01-23,,Rwanda,0,0
2020-01-23,,Saint Lucia,0,0
2020-01-23,,Saint Vincent and the Grenadines,0,0
2020-01-23,,San Marino,0,0
2020-01-23,,Saudi Arabia,0,0
2020-01-23,,Senegal,0,0
2020-01-23,,Serbia,0,0
2020-01-23,,Seychelles,0,0
2020-01-23,,Singapore,1,0
2020-01-23,,Slovakia,0,0
2020-01-23,,Slovenia,0,0
2020-01-23,,Somalia,0,0
2020-01-23,,South Africa,0,0
2020-01-23,,Spain,0,0
2020-01-23,,Sri Lanka,0,0
2020-01-23,,Sudan,0,0
2020-01-23,,Suriname,0,0
2020-01-23,,Sweden,0,0
2020-01-23,,Switzerland,0,0
2020-01-23,,Taiwan*,1,0
2020-01-23,,Tanzania,0,0
2020-01-23,,Thailand,3,0
2020-01-23,,Togo,0,0
2020-01-23,,Trinidad and Tobago,0,0
2020-01-23,,Tunisia,0,0
2020-01-23,,Turkey,0,0
2020-01-23,,Uganda,0,0
2020-01-23,,Ukraine,0,0
2020-01-23,,United Arab Emirates,0,0
2020-01-23,Bermuda,United Kingdom,0,0
2020-01-23,Cayman Islands,United Kingdom,0,0
2020-01-23,Channel Islands,United Kingdom,0,0
2020-01-23,Gibraltar,United Kingdom,0,0
2020-01-23,Isle of Man,United Kingdom,0,0
2020-01-23,Montserrat,United Kingdom,0,0
2020-01-23,,United Kingdom,0,0
2020-01-23,,Uruguay,0,0
2020-01-23,,US,1,0
2020-01-23,,Uzbekistan,0,0
2020-01-23,,Venezuela,0,0
2020-01-23,,Vietnam,2,0
2020-01-23,,Zambia,0,0
2020-01-23,,Zimbabwe,0,0
2020-01-23,Diamond Princess,Canada,0,0
2020-01-23,,Dominica,0,0
2020-01-23,,Grenada,0,0
2020-01-23,,Mozambique,0,0
2020-01-23,,Syria,0,0
2020-01-23,,Timor-Leste,0,0
2020-01-23,,Belize,0,0
2020-01-23,,Laos,0,0
2020-01-23,,Libya,0,0
2020-01-23,,West Bank and Gaza,0,0
2020-01-23,,Guinea-Bissau,0,0
2020-01-23,,Mali,0,0
2020-01-23,,Saint Kitts and Nevis,0,0
2020-01-23,Northwest Territories,Canada,0,0
2020-01-23,Yukon,Canada,0,0
2020-01-23,,Kosovo,0,0
2020-01-23,,Burma,0,0
2020-01-23,Anguilla,United Kingdom,0,0
2020-01-23,British Virgin Islands,United Kingdom,0,0
2020-01-23,Turks and Caicos Islands,United Kingdom,0,0
2020-01-23,,MS Zaandam,0,0
2020-01-23,,Botswana,0,0
2020-01-23,,Burundi,0,0
2020-01-23,,Sierra Leone,0,0
2020-01-23,"Bonaire, Sint Eustatius and Saba",Netherlands,0,0
2020-01-23,,Malawi,0,0
2020-01-23,Falkland Islands (Malvinas),United Kingdom,0,0
2020-01-23,Saint Pierre and Miquelon,France,0,0
2020-01-23,,South Sudan,0,0
2020-01-23,,Western Sahara,0,0
2020-01-23,,Sao Tome and Principe,0,0
2020-01-23,,Yemen,0,0
2020-01-23,,Comoros,0,0
2020-01-23,,Tajikistan,0,0
2020-01-23,,Lesotho,0,0
2020-01-23,,Australia,0,0
2020-01-23,,Canada,0,0
2020-01-23,,China,643,18
2020-01-23,,Denmark,0,0
2020-01-23,Alabama,US,0,0
2020-01-23,Alaska,US,0,0
2020-01-23,American Samoa,US,0,0
2020-01-23,Arizona,US,0,0
2020-01-23,Arkansas,US,0,0
2020-01-23,California,US,0,0
2020-01-23,Colorado,US,0,0
2020-01-23,Connecticut,US,0,0
2020-01-23,Delaware,US,0,0
2020-01-23,Diamond Princess,US,0,0
2020-01-23,District of Columbia,US,0,0
2020-01-23,Florida,US,0,0
2020-01-23,Georgia,US,0,0
2020-01-23,Grand Princess,US,0,0
2020-01-23,Guam,US,0,0
2020-01-23,Hawaii,US,0,0
2020-01-23,Idaho,US,0,0
2020-01-23,Illinois,US,0,0
2020-01-23,Indiana,US,0,0
2020-01-23,Iowa,US,0,0
2020-01-23,Kansas,US,0,0
2020-01-23,Kentucky,US,0,0
2020-01-23,Louisiana,US,0,0
2020-01-23,Maine,US,0,0
2020-01-23,Maryland,US,0,0
2020-01-23,Massachusetts,US,0,0
2020-01-23,Michigan,US,0,0
2020-01-23,Minnesota,US,0,0
2020-01-23,Mississippi,US,0,0
2020-01-23,Missouri,US,0,0
2020-01-23,Montana,US,0,0
2020-01-23,Nebraska,US,0,0
2020-01-23,Nevada,US,0,0
2020-01-23,New Hampshire,US,0,0
2020-01-23,New Jersey,US,0,0
2020-01-23,New Mexico,US,0,0
2020-01-23,New York,US,0,0
2020-01-23,North Carolina,US,0,0
2020-01-23,North Dakota,US,0,0
2020-01-23,Northern Mariana Islands,US,0,0
2020-01-23,Ohio,US,0,0
2020-01-23,Oklahoma,US,0,0
2020-01-23,Oregon,US,0,0
2020-01-23,Pennsylvania,US,0,0
2020-01-23,Puerto Rico,US,0,0
2020-01-23,Rhode Island,US,0,0
2020-01-23,South Carolina,US,0,0
2020-01-23,South Dakota,US,0,0
2020-01-23,Tennessee,US,0,0
2020-01-23,Texas,US,0,0
2020-01-23,Utah,US,0,0
2020-01-23,Vermont,US,0,0
2020-01-23,Virgin Islands,US,0,0
2020-01-23,Virginia,US,0,0
2020-01-23,Washington,US,1,0
2020-01-23,West Virginia,US,0,0
2020-01-23,Wisconsin,US,0,0
2020-01-23,Wyoming,US,0,0
2020-01-24,,Afghanistan,0,0
2020-01-24,,Albania,0,0
2020-01-24,,Algeria,0,0
2020-01-24,,Andorra,0,0
2020-01-24,,Angola,0,0
2020-01-24,,Antigua and Barbuda,0,0
2020-01-24,,Argentina,0,0
2020-01-24,,Armenia,0,0
2020-01-24,Australian Capital Territory,Australia,0,0
2020-01-24,New South Wales,Australia,0,0
2020-01-24,Northern Territory,Australia,0,0
2020-01-24,Queensland,Australia,0,0
2020-01-24,South Australia,Australia,0,0
2020-01-24,Tasmania,Australia,0,0
2020-01-24,Victoria,Australia,0,0
2020-01-24,Western Australia,Australia,0,0
2020-01-24,,Austria,0,0
2020-01-24,,Azerbaijan,0,0
2020-01-24,,Bahamas,0,0
2020-01-24,,Bahrain,0,0
2020-01-24,,Bangladesh,0,0
2020-01-24,,Barbados,0,0
2020-01-24,,Belarus,0,0
2020-01-24,,Belgium,0,0
2020-01-24,,Benin,0,0
2020-01-24,,Bhutan,0,0
2020-01-24,,Bolivia,0,0
2020-01-24,,Bosnia and Herzegovina,0,0
2020-01-24,,Brazil,0,0
2020-01-24,,Brunei,0,0
2020-01-24,,Bulgaria,0,0
2020-01-24,,Burkina Faso,0,0
2020-01-24,,Cabo Verde,0,0
2020-01-24,,Cambodia,0,0
2020-01-24,,Cameroon,0,0
2020-01-24,Alberta,Canada,0,0
2020-01-24,British Columbia,Canada,0,0
2020-01-24,Grand Princess,Canada,0,0
2020-01-24,Manitoba,Canada,0,0
2020-01-24,New Brunswick,Canada,0,0
2020-01-24,Newfoundland and Labrador,Canada,0,0
2020-01-24,Nova Scotia,Canada,0,0
2020-01-24,Ontario,Canada,0,0
2020-01-24,Prince Edward Island,Canada,0,0
2020-01-24,Quebec,Canada,0,0
2020-01-24,Saskatchewan,Canada,0,0
2020-01-24,,Central African Republic,0,0
2020-01-24,,Chad,0,0
2020-01-24,,Chile,0,0
2020-01-24,Anhui,China,15,0
2020-01-24,Beijing,China,36,0
2020-01-24,Chongqing,China,27,0
2020-01-24,Fujian,China,10,0
2020-01-24,Gansu,China,2,0
2020-01-24,Guangdong,China,53,0
2020-01-24,Guangxi,China,23,0
2020-01-24,Guizhou,China,3,0
2020-01-24,Hainan,China,8,0
2020-01-24,Hebei,China,2,1
2020-01-24,Heilongjiang,China,4,1
2020-01-24,Henan,China,9,0
2020-01-24,Hong Kong,China,2,0
2020-01-24,Hubei,China,549,24
2020-01-24,Hunan,China,24,0
2020-01-24,Inner Mongolia,China,1,0
2020-01-24,Jiangsu,China,9,0
2020-01-24,Jiangxi,China,18,0
2020-01-24,Jilin,China,3,0
2020-01-24,Liaoning,China,4,0
2020-01-24,Macau,China,2,0
2020-01-24,Ningxia,China,2,0
2020-01-24,Qinghai,China,0,0
2020-01-24,Shaanxi,China,5,0
2020-01-24,Shandong,China,15,0
2020-01-24,Shanghai,China,20,0
2020-01-24,Shanxi,China,1,0
2020-01-24,Sichuan,China,15,0
2020-01-24,Tianjin,China,8,0
2020-01-24,Tibet,China,0,0
2020-01-24,Xinjiang,China,2,0
2020-01-24,Yunnan,China,5,0
2020-01-24,Zhejiang,China,43,0
2020-01-24,,Colombia,0,0
2020-01-24,,Congo (Brazzaville),0,0
